,Countrys,lat,lng
0,Andorra,42.506285,1.521801
1,Estonia,58.595272,25.0136071
2,Germany,51.165691,10.451526
3,Mexico,23.634501,-102.552784
4,Canada,56.130366,-106.346771
5,Philippines,12.879721,121.774017
6,Portugal,39.39987199999999,-8.224454
7,Malta,35.937496,14.375416
8,Austria,47.516231,14.550072
9,Iceland,64.963051,-19.020835
10,Liechtenstein,47.166,9.555373
11,Latvia,56.879635,24.603189
12,Hungary,47.162494,19.5033041
13,DominicanRepublic,18.735693,-70.162651
14,CzechRepublic,49.81749199999999,15.472962
15,Denmark,56.26392,9.501785
16,Slovakia,48.669026,19.699024
17,Colombia,4.570868,-74.297333
18,Finland,61.92410999999999,25.7481511
19,Netherlands,52.132633,5.291265999999999
20,Ireland,53.1423672,-7.692053599999999
21,Belgium,50.503887,4.469936
22,Indonesia,-0.789275,113.921327
23,Brazil,-14.235004,-51.92528
24,Hong Kong,22.396428,114.109497
25,South Africa,-30.559482,22.937506
26,Romania,45.943161,24.96676
27,Japan,36.204824,138.252924
28,Norway,60.47202399999999,8.468945999999999
29,Greece,39.074208,21.824312
30,Vietnam,14.058324,108.277199
31,Guatemala,15.783471,-90.23075899999999
32,Malaysia,4.210484,101.975766
33,Spain,40.46366700000001,-3.74922
34,Honduras,15.199999,-86.241905
35,Paraguay,-23.442503,-58.443832
36,Israel,31.046051,34.851612
37,Luxembourg,49.815273,6.129582999999999
38,El Salvador,13.794185,-88.89653
39,Taiwan,23.69781,120.960515
40,Ecuador,-1.831239,-78.18340599999999
41,Italy,41.87194,12.56738
42,Bulgaria,42.733883,25.48583
43,Sweden,60.12816100000001,18.643501
44,France,46.227638,2.213749
45,Uruguay,-32.522779,-55.765835
46,New Zealand,-40.900557,174.885971
47,Panama,8.537981,-80.782127
48,CostaRica,9.748916999999999,-83.753428
49,Thailand,15.870032,100.992541
50,Poland,51.919438,19.145136
51,Australia,-25.274398,133.775136
52,Lithuania,55.169438,23.881275
53,Bolivia,-16.290154,-63.58865299999999
54,Nicaragua,12.865416,-85.207229
55,Switzerland,46.818188,8.227511999999999
56,Cyprus,35.126413,33.429859
57,United Kingdom,55.378051,-3.435973
58,Monaco,43.73841760000001,7.424615799999999
59,Argentina,-38.416097,-63.61667199999999
60,Turkey,38.963745,35.243322
61,Singapore,1.352083,103.819836
62,Peru,-9.189967,-75.015152
63,Chile,-35.675147,-71.542969
